 Protocol, Flow Duration,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd Packets/s, Bwd Packets/s,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Label
6,5385455,178.4436041,1.485482657,769350.7143,1848212.114,4959769,50,425686,141895.3333,76374.29247,228615,84650,5300855,1766951.667,2800393.877,5000116,103549,0.742741328,0.742741328,8192,60,3,20,BENIGN
6,102,117647.0588,19607.84314,102,0,102,102,102,102,0,102,102,0,0,0,0,0,19607.84314,0,254,-1,1,20,BENIGN
17,148,1162162.162,27027.02703,49.33333333,49.54122862,100,1,1,1,0,1,1,47,47,0,47,47,13513.51351,13513.51351,-1,-1,1,32,BENIGN
6,5231148,2.293951538,0.764650513,1743716,2946470.076,5145650,91,5231148,2615574,3578067.793,5145650,85498,0,0,0,0,0,0.573487884,0.191162628,8192,29200,2,20,BENIGN
6,115441263,90.31432721,0.398471039,2565361.4,4328673.737,10000000,9,115000000,4808512.958,4991519.162,10100000,148,115000000,5770222.25,4938970.123,10100000,48,0.216560347,0.181910692,29200,377,5,32,BENIGN
6,4,7750000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,500000,0,406,-1,0,32,BENIGN
6,2481084,845.5981337,5.642694887,190852.6154,548454.53,1963917,27,517167,86194.5,190869.6814,474444,227,2480734,413455.6667,800014.5537,2000232,491,2.821347443,2.821347443,29200,8,3,32,BENIGN
6,4,7750000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,500000,0,245,-1,0,32,BENIGN
6,5241434,2.289449796,0.763149932,1747144.667,3009075.019,5221707,121,5241434,2620717,3678355.334,5221707,19727,0,0,0,0,0,0.572362449,0.190787483,29200,29200,2,20,BENIGN
17,954,212788.26,2096.436059,954,0,954,954,0,0,0,0,0,0,0,0,0,0,1048.218029,1048.218029,-1,-1,0,20,BENIGN
6,3490972,593.8174239,4.010344397,268536.3077,652959.3999,1961885,31,1529087,254847.8333,602744.3202,1484695,207,3490672,581778.6667,913225.3733,1999343,236,2.005172198,2.005172198,29200,8,3,32,BENIGN
6,3490932,594.6835974,4.010390348,268533.2308,653129.4525,1961885,15,1529047,254841.1667,603144.4912,1485525,191,3490586,581764.3333,913289.4976,1998793,177,2.005195174,2.005195174,29200,8,3,32,BENIGN
6,3,10300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,666666.6667,0,245,-1,0,32,BENIGN
6,48,645833.3333,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,41666.66667,0,245,-1,0,32,BENIGN
